run_id,rps,injected_latency_ms,retry_policy,breaker_enabled,breaker_window_size,pool_size,admission_control_enabled,admission_control_mode,admission_ewma_half_life_s,admission_u_low,admission_grace_ms,throughput_rps,error_rate,p95_latency_ms,p99_latency_ms,amplification_factor,retry_rate,retry_success_rate,probe_success_rate,admission_rejection_rate,a_offered_count,a_timeout_count,a_upstream_error_count,b_received_count,b_success_count,b_pool_active_max,b_pool_timeout_count,b_query_timeout_count,b_error_count,b_admission_rejected_count,b_admission_rejected_latency_p95_ms,b_admission_ewma_utilization_max,b_admission_ewma_utilization_mean,saturated,saturation_reasons
20260811T152722Z_rps12_lat400_none_breaker-on_win5,12,400,none,True,5,10,False,instantaneous,2.0,0.8,20.0,12,0,811.2625422,814.83703327,0.9990627928772259,0.0,0.0,,0.0,1067,0,0,1066,1066,10,0,0,0,0,,,,True,pool_active=10 (max=10)
20260811T152952Z_rps12_lat400_none_breaker-on_win10,12,400,none,True,10,10,False,instantaneous,2.0,0.8,20.0,12,0,806.8764098,808.34346827,1.0,0.0,0.0,,0.0,1066,0,0,1066,1066,10,0,0,0,0,,,,True,pool_active=10 (max=10)
20260811T153222Z_rps12_lat400_none_breaker-on,12,400,none,True,20,10,False,instantaneous,2.0,0.8,20.0,12.011111111111111,0,806.478041,807.9063544,1.0,0.0,0.0,,0.0,1066,0,0,1066,1066,10,0,0,0,0,,,,True,pool_active=10 (max=10)
20260811T153452Z_rps12_lat400_none_breaker-on_win40,12,400,none,True,40,10,False,instantaneous,2.0,0.8,20.0,12.011111111111111,0,808.257795,812.0690248,1.0009398496240602,0.0,0.0,,0.0,1064,0,0,1065,1065,10,0,0,0,0,,,,True,pool_active=10 (max=10)
20260811T153722Z_rps12_lat400_none_breaker-on_win80,12,400,none,True,80,10,False,instantaneous,2.0,0.8,20.0,12,0,806.09911765,806.78839858,1.0,0.0,0.0,,0.0,1063,0,0,1063,1063,10,0,0,0,0,,,,True,pool_active=10 (max=10)
20260811T153952Z_rps16_lat400_none_breaker-on_win5,16,400,none,True,5,10,False,instantaneous,2.0,0.8,20.0,15.977777777777778,0.6063977746870653,2002.83839725,2004.08020841,0.5842696629213483,0.0,0.0,1.0,0.0,1424,279,0,832,832,10,0,0,0,0,,,,True,error_rate=60.64%; pool_active=10 (max=10)
20260811T154222Z_rps16_lat400_none_breaker-on_win10,16,400,none,True,10,10,False,instantaneous,2.0,0.8,20.0,15.977777777777778,0.6050069541029207,2002.69141885,2003.7164114099999,0.5984138428262437,0.0,0.0,1.0,0.0,1387,263,0,830,830,10,0,0,0,0,,,,True,error_rate=60.50%; pool_active=10 (max=10)
20260811T154452Z_rps16_lat400_none_breaker-on,16,400,none,True,20,10,False,instantaneous,2.0,0.8,20.0,16,0.5881944444444445,2002.9379422,2003.75336823,0.6391825229034531,0.0,0.0,1.0,0.0,1419,335,0,907,907,10,0,0,0,0,,,,True,error_rate=58.82%; pool_active=10 (max=10)
20260811T154722Z_rps16_lat400_none_breaker-on_win40,16,400,none,True,40,10,False,instantaneous,2.0,0.8,20.0,15.988888888888889,0.5573314801945796,2003.3320121,2004.0458716599999,0.7374380750176929,0.0,0.0,1.0,0.0,1413,424,5,1042,1026,10,16,0,0,0,,,,True,error_rate=55.73%; pool_timeouts=16; pool_active=10 (max=10)
20260811T154951Z_rps16_lat400_none_breaker-on_win80,16,400,none,True,80,10,False,instantaneous,2.0,0.8,20.0,16.011111111111113,0.6217904233171409,2003.611991,2004.5300674,0.7740555951532431,0.0,0.0,1.0,0.0,1403,538,6,1086,1045,10,41,0,0,0,,,,True,error_rate=62.18%; pool_timeouts=41; pool_active=10 (max=10)
